,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
4076,Bette Midler,1965-1982,Midler,Bette,F,1944,199x,"R:diminutive, brassy, vulgar",\Am,,
4077,Toshiro Mifune,1948-1982,Mifune,Toshiro,M,1920,1997,"R:versatile, ferocious style",\Ja,,
4078,Tatsuta Mihashi,,,,F,[1],199x,RU:,\Un,,|
4079,Mark Mikulski,,,,M,[1],199x,RU:,\Un,,|
4080,Mario Milano,,,,M,[1],199x,RU:,\Un,,|
4081,Bernard Miles,1932-1969,Miles,Sir Bernard,M,1907,1991,"R:slow-speaking, countryfolk",\Br,,Ww(Hitchcock)
4082,Joanna Miles,1975-1975,Miles,Joanna,F,1949,199x,R:lead,\Am,,
4083,Kelly Miles,,,,,[1],199x,RU:,\Un,,|
4084,Lillian Miles,,,,F,[1],199x,RU:,\Un,,|
4085,Peter Miles,1944-1968,Perreau,Gerald,M,1938,199x,R:child,\Am,,Si(Gigi Perreau)
4086,Sarah Miles,1962-1982,Miles,Sarah,F,1941,199x,R:vivacious lead,\Br,,Mt(Robert Bolt)
4087,Sherry Miles,,,,F,[1],199x,RU:,\Un,,|
4088,Sylvia Miles,1961-1978,Miles,Sylvia,F,1926,199x,R:character,\Am,[4.232],
4089,Vera Miles,1952-1983,Ralston,Vera,F,1929,199x,R:dependable,\Am,,Ww(Hitchcock)
4090,Kim Milford,,,,F,[1],199x,RU:,\Un,,|
4091,Penelope Milford,,,,F,[1],199x,RU:,\Un,,|
4092,Tomas Milian,1966-1979,Milian,Tomas,M,1938,199x,"R:character, spaghetti westerns",\It,,
4093,John Miljan,1923-1955,Miljan,John,M,1893,1960,R:suave villain,\Am,,
4094,Ray Milland,1929-1959,Truscott-Jones,Reginald,M,1905,1986,R:likeable light,\Br; Welsh,"[34.270][4.21,85]",Ww(Hitchcock)
4095,Ray Millard,,,,M,[1],199x,RU:,\Un,[4.1094],
4096,Ann Miller,1937-1956,Collier,Lucy Ann,F,1919,199x,R:long-legged dancer,\Am,,
4097,Barry Miller,,,,M,[1],199x,RU:,\Un,,|
4098,Bernard,,,,M,[1],1983,RU:,\Un,,|
4099,David Miller,,Miller,David,M,1909,199x,RU:,\Am,,Nt(mainly d)
4100,Denny Miller,1959-1978,Miller,Denny,M,,,R:athletic,\Am,,
4101,Dick Miller,1955-1981,Miller,Dick,M,1928,199x,R:supporting,\Am,,
4102,Eve Miller,,,,F,[1],199x,RU:,\Un,,|
4103,Frank Miller,,,,M,[1],199x,RU:,\Un,,|
4104,Glenn Miller,1942-1953,Miller,Glenn,M,1904,1944,R:bandleader,\Am,,
4105,Jason Miller,1974-1982,Miller,Jason,M,1939,199x,RU:,\Am,,
4106,Kathleen Miller,,,,F,[1],199x,RU:,\Un,,|
4107,Linda Miller,,,,F,[1],199x,RU:,\Un,,|
4108,Mandy Miller,1951-1958,Miller,Mandy,F,1944,199x,R:child,\Br,,
4109,Mark Miller,,,,M,[1],199x,RU:,\Un,,|
4110,Marvin Miller,1945-1960,Mueller,M.,M,1913,199x,R:tough guy,\Am,[18.185]|,
4111,Max Miller,1932-1943,Sargent,Harold,M,1895,1963,R:ribald comedian,\Br,,
4112,Patsy Ruth Miller,1918-1951,Miller,Patsy Ruth,F,1905,199x,R:lead,\Am,,
4113,Penelope Ann Miller,1992,Miller,Penelope Ann,,F,,199x,R:charming,,
4114,Seton I. Miller,1930-1957,Miller,Seton I.,M,1902,1974,R:silent,\Am,,
4115,Walter C. Miller,1912-1940,Miller,Walter C.,M,1892,1940,R:lead,\Am,,
4116,Andra Millian,,,,F,[1],199x,RU:,\Un,,|
4117,Spike Milligan,1956-1983,Milligan,Spike,M,1918,199x,R:comedian,\Ir,,
4118,Donna Mills,1967-1978,Mills,Donna,F,,,R:lead,\Am,,
4119,Hayley Mills,1959-1981,Mills,Hayley,F,1946,199x,"R:tomboy, cute",\Br,,Ch(John Mills)
4120,John Mills,1932-1996,Mills,Sir John,M,1908,199x,R:stiff upper lip,\Br,,
4121,Juliet Mills,1961-1974,Mills,Juliet,F,1941,199x,R:lead,,,Ch(John Mills)
4122,Mort Mills,1960,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock)
4123,Martin Milner,1947-1967,Milner,Martin,M,1927,199x,R:general purpose,\Am,,
4124,Josh Milrad,,,,M,[1],199x,RU:,\Un,,|
4125,Billy Milton,1930-1968,Milton,Billy,M,1905,199x,R:light,\Br,,
4126,Yvette Mimieux,1960-1978,Mimieux,Yvette,F,1939,199x,R:lead,\Am,,
4127,Esther Minciotti,1949-1957,Minciotti,Esther,F,1883,1962,R:character,\Am,,Mt(Silvio M.)
4128,Silvio Minciotti,1949-1955,Minciotti,Silvio,M,1883,1961,R:character,\Am,,Mt(Esther M.)
4129,Sal Mineo,1955-1971,Mineo,Sal,M,1939,1976,R:diminutive,\Am,,
4130,Jan Miner,,,,F,[1],199x,RU:,\Un,,|
4131,Liza Minnelli,1967-1977,Minelli,Liza,F,1946,199x,R:gamine,\Am,[4.94],"Ch(Judy Garland) Mt(Peter Allen, Jack Haley, Mark Gero,)"
4132,Mary Miles Minter,1912-1923,Reilly,Juliet,F,1902,199x,R:silent,\Am,,
4133,Emile Minty,,,,,[1],199x,RU:,\Un,,|
4134,MiouMiou,1971-1988,,,F,1950,199x,R:sensual,\Fr,,
4135,Irene Miracle,,,,F,[1],199x,RU:,\Un,,|
4136,Carmen Miranda,1940-1953,deCunha,\FN{Maria de Carmo Miranda,F,1913,1955,R:bombshell dancer,\Po,,
4137,Isa Miranda,1938-1975,Sanpietro,Ines Isabella,F,1905,1982,RU:,\It,,
4138,Helen Mirren,1967-1994,Miren,Helen,F,1926,199x,R:frightening,\Br,,Lw(Taylor Hackford; D)
4139,Cameron Mitchell,1945-1975,Mizell,Cameron,M,1918,1994,R:rugged westerner,\Am,,
4140,Channing Mitchell,,,,M,[1],199x,RU:,\Un,,|
4141,Donna Mitchell,,,,F,[1],199x,RU:,\Un,,|
4142,Duke Mitchell,,,,M,[1],199x,RU:,\Un,,|
4143,Grant Mitchell,1931-1948,Mitchell,Grant,M,1874,1957,R:worried,\Am,,
4144,Julien Mitchell,1936-1954,Mitchell,Julien,M,1884,1954,RU:,\Br,,
4145,Leigh Mitchell,,,,,[1],199x,RU:,\Un,,|
4146,Mary Mitchell,,,,F,[1],199x,RU:,\Un,,|
4147,Millard Mitchell,1940-1953,Mitchell,Millard,M,1900,1953,"R:rangy, nasal-voiced",\Am,,
4148,Thomas Mitchell,1923-1958,Mitchell,Thomas,M,1892,1962,R:character,\Ir-\Am,,
4149,Warren Mitchell,1960-1977,Mitchell,Warren,M,1926,199x,R:character,\Br,,
4150,Yvonne Mitchell,1948-1976,Joseph,Yvonne,F,1925,1976,RU:,\Br,,Also(W)
4151,Chris Mitchum,,Mitchum,Christopher,M,,199x,RU:,\Un,,Ch(Robert Mitchum)
4152,James Mitchum,1958-1976,Mitchum,James,M,1938,199x,RU:,\Am,,Ch(Robert Mitchum)
4153,John Mitchum,,,,M,[1],199x,RU:,\Un,,|
4154,Robert Mitchum,1943-1988,Mitchum,Robert,M,1917,1997,R:sleepy-eyed tough,\Am,[4.740],Also(P) Aw(AFI#23)
4155,Tom Mix,1910-1933,Mix,Tom,M,1880,1940,R:marshall,\Am,,
4156,Nobuko Miyamoto,,,,M,[1],199x,RU:,\Un,,|
4157,Jayne Modean,,,,F,[1],199x,RU:,\Un,,Cit(1)
4158,Matthew Modine,,,,M,[1],199x,RU:,\Un,,Cit(4)
4159,Gaston Modot,1921-1959,Modot,Gaston,M,1887,1970,R:character,\Fr,,
4160,Grace `Bambi' Moehrle,dow,Moehrle,Grace,F,1960,199x,R:sr,\Ct,,Mt(Montel Williams) Er(dob196x)
4161,Donald Moffat,,,,M,[1],199x,RU:,\Un,,Cit(3)
4162,Graham Moffatt,1938-1963,Moffatt,Graham,M,1919,1965,R:impertinent fat boy,\Br,,
4163,Sharyn Moffett,1944-1951,Moffett,Sharyn,F,1936,199x,R:child,\Am,,
4164,Gerald Mohr,1941-1968,Mohr,Gerald,M,1914,1968,R:suave,\Am,,
4165,Angela Molina,,,,F,[1],199x,RU:,\Un,,Cit(1)
4166,Georgia Moll,,,,F,[1],199x,RU:,\Un,,Cit(1)
4167,Henry Mollison,1931,Mollison,Henry,M,,199x,RU:,\Br,,Mt(Lina Basquette)
4168,Pierre Mondy,1949-1980,Cuq,Pierre,M,1925,199x,RU:,\Fr,,
4169,Yves Montand,1946-1983,Levi,Ivo,M,1921,1991,\Fr,R:romantic singer,\It,
4170,Marilyn Monroe,1948-1961,Baker (Mortenson),Norma Jean,F,1926,1962,R:lively,\Am,,Aw(AFI#6)
4171,Tony Monsanto,,,,M,[1],199x,RU:,\Un,,Cit(0)
4172,Lee Montague,1959-1978,Montague,Lee,M,1927,199x,RU:,\Br,,
4173,Carlos Montalban,,,,M,[1],199x,RU:,\Un,,Cit(2)
4174,Ricardo Montalban,1947-1982,Montalban,Ricardo,M,1920,199x,R:lead,\Me,,Mt(Cindy Williams)
4175,Bull Montana,1919-1929,Montagna,Luigi,M,1887,1950,R:strong man,\It-\Am,,
4176,Yves Montand,1946-1987,Levi,Ivo,M,1921,1991,"R:singer, romantic",\Fr,,Mt(Simone Signoret)
4177,Lenny Montano,,,,M,[1],199x,RU:,\Un,[4.71],Cit(1) Er(Montana)
4178,Joe Montegna,,,,M,[1],199x,RU:,\Un,,Cit(1)
4179,Maria Montez,1941-1951,deSanto Silas,Maria,F,1919,1951,R:exotic lead,\Am,,
4180,M.J. Montfajon,,,,M,[1],199x,RU:,\Un,,Cit(1)
4181,Belinda J. Montgomery,1970-1978,Montgomery,Belinda,F,1950,199x,R:lead,\Am,,
4182,Douglass Montgomery,1930-1948,Montgomery,Robert Douglass,M,1907,1966,R:lead,\Ca,,Alias(Kent Douglass)
4183,Elizabeth Montgomery,1955-1981,Montgomery,Elizabeth,F,1933,199x,R:attractive wife,\Am,,Ch(Robert Montgomery) Mt(W.Asher; D) NT(in Bewitched series) Ww(Hitchcock)
4184,George Montgomery,1939-1967,Letz,George M.,M,1916,199x,R:genial lead,\Am,,
4185,Julie Montgomery,,,,F,[1],199x,RU:,\Un,,Cit(1)
4186,Robert Montgomery,1929-1950,Montgomery,Henry,M,1904,1981,R:smart,\Br,[4.577],Also(D)
4187,Jim Moody,,,,M,[1],199x,RU:,\Un,,Cit(0)
4188,Ron Moody,1959-1979,Moodnick,Ronald,M,1924,199x,R:character comedian,\Br,,
4189,Keith Moon,,,,M,[1],199x,RU:,\Un,,Cit(2)
4190,Alvy Moore,,,,M,[1],199x,RU:,\Un,,Cit(2)
4191,Barry Moore,,,,M,[1],199x,RU:,\Un,,Cit(1)
4192,Candy Moore,,,,F,[1],199x,RU:,\Un,,Cit(0)
4193,Colleen Moore,1917-1934,Morrison,Kathleen,F,1900,1988,"R:lead, silent",\Am,,
4194,Constance Moore,1938-1961,Moore,Constance,F,1919,199x,R:lead,\Am,,St(Republic)
4195,Demi Moore,1982-1992,Moore,gn,F,[1],1963,R:sexy,\Am,,Nt(Pregnant Nude on Vanity Fair cover) Mt(Bruce Willis)
4196,Dennis Moore,,,,M,[1],199x,RU:,\Un,,Cit(1)
4197,Dickie Moore,1926-1952,Moore,Dickie,M,1925,199x,R:child,\Am,,
4198,Dudley Moore,1966-1984,Moore,Dudley,M,1935,199x,"R:pianist, comedian",\Am,,
4199,Eileen Moore,,,,F,[1],199x,RU:,\Un,[4.516],Cit(0)
4200,Eva Moore,1922-1946,Moore,Eva,F,1870,1955,RU:,\Br,,
4201,Grace Moore,1930-1940,Moore,Grace,F,1901,1947,R:operatic singer,\Am,,
4202,Ida Moore,1925-1958,Moore,Ida,F,1883,1964,R:character,\Am,,
4203,Juanita Moore,1952-1974,Moore,Juanita,F,1922,199x,R:character,\Am,,
4204,Julianne Moore,1990-1997,Moore,Julianne,F,1961,199x,R:character,\Am,,Mt(John Gould Rubin;) LW(Bart Freundlich; D)
4205,Kenny Moore,,,,M,[1],199x,RU:,\Un,,Cit(1)
4206,Kieron Moore,1944-1967,O'Hanrahan,Kieron,M,1925,199x,R:hangdog,\Ir,,
4207,Mary Tyler Moore,1961-1982,Moore,Mary Tyler,F,1936,199x,R:lead,\Am,,Mt(Grant Tinker)
4208,Matt Moore,1913-1945,Moore,Matt,M,1888,1960,R:silent,\Am,,
4209,Owen Moore,1909-1933,Moore,Owen,M,1887,1939,RU:,\Am,,Mt(Mary Pickford) Si(Matt Moore)
4210,Robert Moore,1970,Moore,Robert,M,1927,199x,R:pathetic,\Am,,Also(D)
4211,Roger Moore,1954-1971,Moore,Roger,M,1928,199x,R:detective hero,\Br,,Ww(Hitchcock)
4212,Terry Moore,1943-1978,Koford,Helen,F,1929,199x,R:lead,\Am,,
4213,Tom Moore,1914-1949,Moore,Tom,M,1883,1955,RU:,\Am,,Si(Matt Moore)
4214,Victor Moore,1915-1955,Moore,Victor,M,1876,1962,"R:hesitant, bumbling",\Am,,
4215,Agnes Moorehead,1941-1973,Moorehead,Agnes,F,1906,1974,"R:weepish, neurotic",\Am,,
4216,Santos Morales,,,,M,[1],199x,RU:,\Un,,Cit(1)
4217,Erin Moran,,,,,[1],199x,RU:,\Un,,Cit(1)
4218,Gerard Moran,,,,M,[1],199x,RU:,\Un,,Cit(1)
4219,Lois Moran,1922-1954,Moran-Young,Lois,F,1909,1990,R:romantic,\Am,,Nt(raised in France) St(Fox)
4220,Polly Moran,1929-1949,Moran,Polly,F,1884,1952,R:vaudeville comedienne,\Am,,
4221,Kenneth More,1935-1978,More,Kenneth,M,1914,1982,R:breezy,\Br,,
4222,Jeanne Moreau,1955-1980,Moreau,Jeanne,F,1928,199x,R:intellectual,\Fr,,
4223,Agnes Morehead,,,,F,[1],199x,RU:,\Un,,|
4224,Mantan Moreland,1938-1970,Moreland,Mantan,M,1901,1973,R:frightened valet,\Am,,
4225,Andre Morell,1938-1970,Mesritz,Andr\'e,M,1909,1978,R:character,\Br,,
4226,Rina Morelli,,,,F,[1],199x,RU:,\Un,[4.47],
4227,Antonio Moreno,1912-1956,Moreno,Antonio,M,1886,1967,R:romantic,\Sp,,
4228,Rita Moreno,1950-1983,Alverio,Rosita Dolores,F,1931,199x,R:actress-dancer,\PR,,
4229,Cindy Morgan,,,,F,[1],199x,RU:,\Un,,|
4230,Debbi Morgan,,,,F,[1],199x,RU:,\Un,,|
4231,Dennis Morgan,1936-1968,Morgan,Dennis,F,1910,199x,R:lead,\Am,,
4232,Frank Morgan,1917-1950,Wupperman,Francis,M,1890,1949,R:character,\Am,[4.333],
4233,Hank Morgan,1936,,,M,,199x,RU:,\Un,,Pa(Ralph Morgan)
4234,Harry Morgan,1942-1983,Bratsburg,Harry,M,1915,199x,R:mild-looking,\Am,,
4235,Helen Morgan,1929-1936,Morgan,Helen,F,1900,1941,R:singer,\Am,,
4236,Michele Morgan,1936-1977,Roussel,Simone,F,1920,199x,R:lead,\Fr,Er(dow),|
4237,Ralph Morgan,1931-1952,Wupperman,Ralph,M,1882,1956,R:suprise murderer,\Am,[18.186],Si(Frank Morgan)
4238,Sidney Morgan,1930,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock)
4239,Stafford Morgan,,,,M,[1],199x,RU:,\Un,,|
4240,Terence Morgan,1948-1964,Morgan,Terence,M,1921,199x,R:lead,\Br,,
4241,Cathy Moriarty,,,,F,[1],199x,RU:,\Un,,|
4242,Michael Moriarty,,,,M,[1],199x,RU:,\Un,,|
4243,Patricia Morison,1939-1960,Morison,Eileen,F,1915,199x,R:sulky,\Am,,
4244,Lucilla Morlacchi,,,,F,[1],199x,RU:,\Un,,|
4245,Gaby Morlay,1913-1958,Fumoleau,Blanche,F,1897,1964,R:character,\Fr,,
4246,Karen Morley,1931-1951,Linton,Mildred,F,1905,199x,R:lead,\Am,,
4247,Robert Morley,1938-1982,Morley,Robert,M,1908,1992,R:portly,\Br,,
4248,Chester Morris,1929-1970,Morris,Chester,M,1901,1970,R:jut-jawed,\Am,,
4249,Garrett Morris,,,,M,[1],199x,RU:,\Un,,|
4250,Glenn Morris,1938,,,M,[1],199x,R:Tarzan,,,|
4251,Greg Morris,1964-1980,Morris,Greg,M,1934,199x,R:black,\Am,,
4252,Howard Morris,1962-1969,Morris,Howard,M,1919,199x,RU:,\Am,,Also(D)
4253,Lana Morris,1947-1970,Morris,Lana,F,1930,199x,R:lead,\Br,,
4254,Mary Morris,1934-1934,Morris,Mary,F,1895,1970,R:lead,\Am,,
4255,Mary Morris,1938-1951,Morris,Mary,F,1915,1988,R:character,\Br,,
4256,Wayne Morris,1936-1958,deWayne Morris,Bert,M,1914,1959,R:lead,\Am,,
4257,Barbara Morrison,1966,Morrison,Barbara,F,1908,1992,R:madam,\Br,,
4258,Shelley Morrison,,,,,[1],199x,RU:,\Un,,|
4259,Doretta Morrow,1952-1952,Marano,Doretta,F,1925,1968,RU:,\Am,,
4260,Carrie Ann Morrow,,Morrow,Carrie Ann,F,1975,199x,RU:,\Am,,Ch(Vic Morrow)
4261,Jeff Morrow,1953-1958,Morrow,Jeff,M,1913,199x,R:mature,\Am,,
4262,Jo Morrow,1956-1973,Morrow,Jo,F,1940,199x,R:lead,\Am,,
4263,Joshua Morrow,1994,Morrow,Joshua,M,1975,199x,RU:,\Am,,Ty(TV)
4264,Vic Morrow,1955-1983,Morrow,Vic,M,1932,1982,R:muttering juvenile,\Am,,"Pa(Jennifer Jason Leigh, Carrie Ann Morrow)"
4265,Barry Morse,1942-1983,Morse,Barry,M,1919,199x,R:lead,\Br,,
4266,David Morse,,,,M,[1],199x,RU:,\Un,,|
4267,Gary Morse,,,,M,[1],199x,RU:,\Un,,|
4268,Helen Morse,1975-1982,Morse,Helen,F,,,R:lead,\Au,,
4269,Hilary Morse,,Morse,Hilary,F,,,RU:,\Am,,
4270,Robert Morse,1958-1970,Morse,Robert,M,1931,199x,R:befuddled innocent,\Am,,"Pa(Hilary Morse) Mt(Carol DAndrea, Elizabeth Roberts)"
4271,Clive Morton,1932-1967,Morton,Clive,M,1904,1975,R:straight-faced,\Br,,
4272,Maurice Moscovitch,1936-1940,Maaskoff,Morris,M,1871,1940,R:character,\Am,,
4273,Ivan Mosjoukine,1911-1936,Mosjoukine,Ivan,M,1889,1939,R:of old school,\Ru,,
4274,Roger Mosley,1972-1979,Mosley,Roger E.,M,,,R:character,\Am,,
4275,Arnold Moss,1947-1967,Moss,Arnold,M,1910,199x,R:character,\Am,,
4276,Joshua Mostel,,,,M,[1],199x,RU:,\Un,,|
4277,Zero Mostel,1950-1976,Mostel,Zero,M,1915,1977,R:heavyweight comedian,\Am,[4.84],
4278,Judy Motulsky,,,,F,[1],199x,RU:,\Un,,|
4279,John MoulderBrown,1969-1982,Moulder Brown,John,M,1945,199x,R:intense roles,\Br,,
4280,Peggy Mount,1954-1968,Mount,Peggy,F,1916,199x,R:character,\Br,,
4281,Mickey Mouse,,,,A,19bb,19xx,R:jolly cartoon character,\Am,Aw(AP),|
4282,Jane Movak,,,,F,[1],199x,RU:,\Un,,|
4283,Movita,1935-1936,Castaneda,Movita,F,1915,199x,R:exotic,\Me,,Mt(Marlon Brando)
4284,Alan Mowbray,1931-1960,Mowbray,Alan,M,1893,1969,R:imperious-mannered,\Br,,
4285,Patrick Mower,1969-1981,Mower,Patrick,M,1940,199x,R:lead,\Br,,
4286,Leonard Mudie,1932-1959,Cheetham,Leonard M.,M,1884,1965,R:character,\Br,,
4287,Cookie Mueller,,Mueller,Dorothy,F,1939,1989,R:underground,\Am,,Mt(Vittorio Scarpati)
4288,Elizabeth Mueller,1956-1959,Mueller,Elizabeth,F,1926,199x,R:lead,\Zw-\Ge,,
4289,Armin MuellerStahl,1989-1994,Mueller-Stahl,Armin,M,1930,/Un,RU:,\Ge,,
4290,Esther Muir,1931-1942,Muir,Esther,F,1895,199x,R:hard-faced blonde,\Am,,
4291,Gavin Muir,1936-1959,Muir,Gavin,M,1907,1972,R:quiet-spoken villain,\Am,,
4292,Madhabi Mukherjee,1950-1995,Mukherjee,Madhuri,F,1942,199x,R:devoted wife,\In dia (Bengali),Also(D) Note(in 121 Films) Ww(Satyajit Ray) See[165],|
4293,Jean Muir,1934-1944,Fullerton,Jean Muir,F,1911,199x,R:lead,\Am,,
4294,G.H. Mulcaster,1943-1950,Mulcaster,G.H.,M,1891,1964,R:formal types,\Br,,
4295,Diana Muldaur,1968-1981,Muldaur,Diana,F,1943,199x,R:sensitive-looking,\Am,,
4296,Jack Mulhall,1917-1936,Mulhall,Jack,M,1888,1979,R:silent lead,\Am,,
4297,Edward Mulhare,1955-1982,Mulhare,Edward,M,1923,199x,R:lead,\Ir,,
4298,Martin Mull,,,,M,[1],199x,RU:,\Un,,|
4299,Jack Mullaney,1957-1972,Mullaney,Jack,M,1932,1982,R:easy-going,\Am,,
4300,Arthur Mullard,1963-1967,Mullard,Arthur,M,1910,199x,"R:big,bluff",\Br,,
4301,Barbara Mullen,1942-1966,Mullen,Barbara,F,1914,1979,RU:,\Ir-\Am,,
4302,Renate Muller,1930-1936,Muller,Renate,F,1907,1937,R:lead,\Ge,,
4303,Richard Mulligan,1966-1980,Mulligan,Richard,M,1932,199x,R:lanky,\Am,,
4304,Billy Mumy,1961-1975,Mumy,Billy,M,,,R:cute child,\Am,[34.216],Ww(Hitchcock)
4305,Herbert Mundin,1931-1939,Mundin,Herbert,M,1898,1939,R:character,\Br,,
4306,Meg Mundy,1956,,,F,[1],199x,RU:,\Un,,Ww(Hitchcock)
4307,Paul Muni,1928-1959,Weisenfreund,Muni,M,1896,1967,R:distinguished,\Am,,
4308,Jonathan Munk,,,,M,[1],199x,RU:,\Un,,|
4309,Caroline Munro,1971-1980,Munro,Caroline,F,1951,199x,R:lead,\Br,,
4310,Janet Munro,1957-1967,Munro,Janet,F,1934,1972,R:lead,\Br(Scot),|,
4311,Partice Munsel,1953-1953,Munsel,Partice,F,1925,199x,R:operatic,\Am,,
4312,Jules Munshin,1948-1964,Munshin,Jules,M,1915,1970,R:rubber-limbed,\Am,,
4313,Ona Munson,1930-1947,Wolcott,Ona,F,1906,1955,R:character,\Am,,
4314,Irina Muravyova,,,,F,[1],199x,RU:,\Un,,|
4315,Richard Murdoch,1939-1961,Murdoch,Richard,M,1907,1990,RU:,\Am,,Nt(radio entertainer)
4316,George Murdock,,,,M,[1],199x,RU:,\Un,,|
4317,Audie Murphy,1948-1967,Murphy,Audie,M,1924,1971,R:boyish,\Am,,
4318,Ben Murphy,1973-1983,Murphy,Ben,M,1941,199x,R:athletic,\Am,,
4319,Charlie Murphy,1993,Murphy,Charlie,M,,199x,RU:,\Un,Si(Eddie Murphy),|
4320,Donald Murphy,,,,M,[1],199x,RU:,\Un,,|
4321,Eddie Murphy,1982-1984,Murphy,Eddie,M,1960,199x,R:foul-mouthed,\Am,,
4322,George Murphy,1934-1952,Murphy,George,M,1902,199x,R:amiable,\Ir-\Am,[4.238],
4323,Mary Murphy,1951-1972,Murphy,Mary,F,1931,199x,R:lead,\Am,,
4324,Michael Murphy,1967-1979,Murphy,Michael,M,,,R:general purpose,\Am,,
4325,Rosemary Murphy,1957-1973,Murphy,Rosemary,F,1925,199x,RU:,\Am,,
4326,Barbara Murray,1948-1960,Murray,Barbara,F,1929,199x,R:lead,\Br,,
4327,Bill Murray,,,,M,[1],199x,RU:,\Un,,|
4328,Charlie Murray,1915-1915,Murray,Charlie,M,1872,1941,R:vaudeville comedian,\Am,,
4329,Brian Doyle Murray,,,,M,[1],199x,RU:,\Un,,|
4330,Don Murray,1956-1981,Murray,Don,M,1929,199x,"R:ambitious, cowboy",\Am,,
4331,James Murray,1928-1935,Murray,James,M,1901,1936,R:lead,\Am,,
4332,Ken Murray,1929-1966,Court,Don,M,1903,199x,R:comedy,\Am,,
4333,Mae Murray,1917-1931,Koenig,Marie Adrienne,F,1889,1965,R:silent lead,\Am,,
4334,Stephen Murray,1938-1963,Murray,Stephen,M,1912,1983,R:character,\Br,,
4335,Tom Murray,,,,M,[1],199x,RU:,\Un,,|
4336,Peter MurrayHill,1938-1945,Murray-Hill,Peter,M,1908,1957,R:lead,\Br,,
4337,Tony Musante,1965-1972,Musante,Tony,M,1936,199x,R:character,\Am,,
4338,Clarence Muse,1928-1979,Muse,Clarence,M,1889,1979,R:character,\Am,,
4339,Burt Mustin,1951-1971,Mustin,Burt,M,1884,1977,R:comedy character,\Am,,
4340,Carmel Myers,1916-1945,Myers,Carmel,F,1899,1980,R:vamp,\Am,,
4341,Harry Myers,1916-1937,Myers,Harry,M,1886,1938,R:character,\Am,,
4342,Susan Myers,,,,F,[1],199x,RU:,\Un,,|
4343,Odette Myrtil,1936-1952,Myrtil,Odette,F,1898,1978,R:character,\Fr,,
4344,Jim Nabors,,,,M,[1],199x,R:comic,,,|
4345,George Nader,1952-1966,Nader,George,M,1921,199x,R:lead,\Am,,
4346,Anne Nagel,1936-1947,Dolan,Anne,F,1912,1966,R:supporting,\Am,,
4347,Conrad Nagel,1919-1959,Nagel,Conrad,M,1896,1970,R:romantic hero,\Am,,
4348,Joanne Nail,,,,F,[1],199x,RU:,\Un,,|
4349,J.Carrol Naish,1932-1970,Naish,J. Carrol,M,1900,1973,R:character,\Am,,
4350,Laurence Naismith,1947-1972,Johnson,Laurence,M,1908,199x,R:character,\Br,,
4351,Reggie Nalder,,,,M,[1],199x,RU:,\Un,,|
4352,Nita Naldi,1920-1927,Dooley,Anita Donna,F,1899,1961,R:lead,\It-\Am,[18.217],Ww(Hitchcock)
4353,Jack Nance,,,,M,[1],1997,RU:,\Un,,|
4354,John Nance,,,,M,[1],199x,RU:,\Un,,|
4355,Alan Napier,1931-1967,Napier-Clavering,Alan,M,1903,199x,R:character,\Br,,
4356,Diana Napier,1933-1948,Ellis,Molly,F,1908,1982,R:lead,\Br,,Mt(Richard Tauber)
4357,Brian Narelle,,,,M,[1],199x,RU:,\Un,,|
4358,Owen Nares,1914-1941,Nares,Owen,M,1888,1943,R:silent screem,\Br,,
4359,Clarence Nash,1930-1950,Nash,Clarence,M,,1985,R:duck,\Am,,Nt(the voice of Donald Duck)
4360,Marilyn Nash,1947-1947,Nash,Marilyn,F,1924,199x,R:lead,\Am,,
4361,Mary Nash,1934-1946,Nash,Mary,F,1885,1976,RU:,\Am,,
4362,Stephen Nathan,,,,M,[1],199x,RU:,\Un,,|
4363,Mildred Natwick,1940-1982,Natwick,Mildred,F,1908,199x,R:eccentric,\Am,,Ww(Hitchcock)
4364,David Naughton,,,,M,[1],199x,RU:,\Un,,|
4365,James Naughton,1974-1982,Naughton,James,M,1945,199x,R:lead,\Am,,
4366,Rene Navarre,1916-1919,Navarre,Ren\'e,,18bb,199x,R:detective,\Fr,,Also(P)
4367,Alla Nazimova,1918-1945,Nazimoff,Alla,F,1879,1945,RU:,\Ru,,
4368,Amedeo Nazzari,1947-1972,Nazzari,Amedeo,M,1907,1979,R:virile,\It,,
4369,Anna Neagle,1930-1958,Robertson,Dame Marjorie,F,1904,1986,"R:dancer, heroines",\Br,,Also(P) Mt(Herbert Wilcox)
4370,Patricia Neal,1949-1980,Neal,Patricia,F,1926,199x,R:lead,\Am,[4.107],
4371,Tom Neal,1939-1954,Neal,Tom,M,1914,1972,R:lead,\Am,,
4372,Kay Nebel,1913-1923,Nebel,Kay,M,1889,1953,R:villain,\Ge,,Also(painter)
4373,Bernard Nedell,1916-1972,Nedell,Bernard,M,1898,1972,R:character,\Am,,
4374,Audrie J. Neenan,,,,,[1],199x,RU:,\Un,,|
4375,Kay Neer,,,,F,[1],199x,RU:,\Un,,|
4376,Liam Neeson,1988,Neeson,Liam,M,[1],199x,RU:,\Ir,,
4377,Hildegard Neff,1946-1968,Knef,Hildegard,F,1925,199x,R:lead,\Ge,,
